Geracao 0:
1: (-0.512, 10.393) erro: 12.4524
2: (-0.512, 10.393) erro: 12.4524

Geracao 135:
1: (-0.512, 10.393) erro: 12.4524
2: (-0.512, 10.393) erro: 12.4524

Geracao 136:
1: (-0.512, 10.393) erro: 12.4524
2: (-0.512, 10.393) erro: 12.4524

Geracao 137:
1: (-0.512, 10.393) erro: 12.4524
2: (-0.512, 10.393) erro: 12.4524

Geracao 138:
1: (-0.512, 10.393) erro: 12.4524
2: (-0.512, 10.393) erro: 12.4524

Geracao 139:
1: (-0.512, 10.393) erro: 12.4524
2: (-0.512, 10.393) erro: 12.4524

Geracao 140:
1: (-0.512, 10.393) erro: 12.4524
2: (-0.512, 10.393) erro: 12.4524

Geracao 141:
1: (-0.512, 10.393) erro: 12.4524
2: (-0.512, 10.393) erro: 12.4524

Geracao 142:
1: (-0.512, 10.393) erro: 12.4524
2: (-0.512, 10.393) erro: 12.4524

Geracao 143:
1: (-0.512, 10.389) erro: 12.4524
2: (-0.512, 10.393) erro: 12.4524

Geracao 144:
1: (-0.512, 10.389) erro: 12.4524
2: (-0.512, 10.393) erro: 12.4524

Geracao 145:
1: (-0.512, 10.389) erro: 12.4524
2: (-0.512, 10.393) erro: 12.4524

Geracao 146:
1: (-0.512, 10.389) erro: 12.4524
2: (-0.512, 10.393) erro: 12.4524

Geracao 147:
1: (-0.512, 10.389) erro: 12.4524
2: (-0.512, 10.393) erro: 12.4524

Geracao 148:
1: (-0.512, 10.389) erro: 12.4524
2: (-0.512, 10.393) erro: 12.4524

Geracao 149:
1: (-0.512, 10.389) erro: 12.4524
2: (-0.512, 10.389) erro: 12.4524

Geracao 150:
1: (-0.512, 10.389) erro: 12.4524
2: (-0.512, 10.389) erro: 12.4524

Geracao 151:
1: (-0.512, 10.389) erro: 12.4524
2: (-0.512, 10.389) erro: 12.4524

Geracao 152:
1: (-0.512, 10.389) erro: 12.4524
2: (-0.512, 10.389) erro: 12.4524

Geracao 153:
1: (-0.512, 10.389) erro: 12.4524
2: (-0.512, 10.389) erro: 12.4524

Geracao 154:
1: (-0.512, 10.389) erro: 12.4524
2: (-0.512, 10.389) erro: 12.4524

Geracao 155:
1: (-0.512, 10.389) erro: 12.4524
2: (-0.512, 10.389) erro: 12.4524

Geracao 156:
1: (-0.512, 10.389) erro: 12.4524
2: (-0.512, 10.389) erro: 12.4524

Geracao 157:
1: (-0.512, 10.389) erro: 12.4524
2: (-0.512, 10.389) erro: 12.4524

Geracao 158:
1: (-0.512, 10.389) erro: 12.4524
2: (-0.512, 10.389) erro: 12.4524

Geracao 159:
1: (-0.512, 10.389) erro: 12.4524
2: (-0.512, 10.389) erro: 12.4524

Geracao 160:
1: (-0.512, 10.389) erro: 12.4524
2: (-0.512, 10.389) erro: 12.4524

Geracao 161:
1: (-0.512, 10.389) erro: 12.4524
2: (-0.512, 10.389) erro: 12.4524

Geracao 162:
1: (-0.512, 10.389) erro: 12.4524
2: (-0.512, 10.389) erro: 12.4524

Geracao 163:
1: (-0.512, 10.389) erro: 12.4524
2: (-0.512, 10.389) erro: 12.4524

Geracao 164:
1: (-0.512, 10.389) erro: 12.4524
2: (-0.512, 10.389) erro: 12.4524

Geracao 165:
1: (-0.512, 10.389) erro: 12.4524
2: (-0.512, 10.389) erro: 12.4524

Geracao 166:
1: (-0.512, 10.389) erro: 12.4524
2: (-0.512, 10.389) erro: 12.4524

Geracao 167:
1: (-0.512, 10.389) erro: 12.4524
2: (-0.512, 10.389) erro: 12.4524

Geracao 168:
1: (-0.512, 10.389) erro: 12.4524
2: (-0.512, 10.389) erro: 12.4524

Geracao 169:
1: (-0.512, 10.389) erro: 12.4524
2: (-0.512, 10.389) erro: 12.4524

Geracao 170:
1: (-0.512, 10.389) erro: 12.4524
2: (-0.512, 10.389) erro: 12.4524

Geracao 171:
1: (-0.512, 10.389) erro: 12.4524
2: (-0.512, 10.389) erro: 12.4524

Geracao 172:
1: (-0.512, 10.389) erro: 12.4524
2: (-0.512, 10.389) erro: 12.4524

Geracao 173:
1: (-0.512, 10.389) erro: 12.4524
2: (-0.512, 10.389) erro: 12.4524

Geracao 174:
1: (-0.512, 10.389) erro: 12.4524
2: (-0.512, 10.389) erro: 12.4524

Geracao 175:
1: (-0.512, 10.389) erro: 12.4524
2: (-0.512, 10.389) erro: 12.4524

Geracao 176:
1: (-0.512, 10.389) erro: 12.4524
2: (-0.512, 10.389) erro: 12.4524

Geracao 177:
1: (-0.512, 10.389) erro: 12.4524
2: (-0.512, 10.389) erro: 12.4524

Geracao 178:
1: (-0.512, 10.389) erro: 12.4524
2: (-0.512, 10.389) erro: 12.4524

Geracao 179:
1: (-0.512, 10.389) erro: 12.4524
2: (-0.512, 10.389) erro: 12.4524

Geracao 180:
